bank,branch,date,day,arrival_time,service_type,service_start_time,service_end_time,wait_time_min,service_duration_min,queue_length
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,09:17:00,FD Opening,09:21:00,09:31:46.800000,4,10.78,13
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,11:43:00,Inward Remittance,11:47:00,12:01:57.600000,4,14.96,4
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:12:00,Cash Withdrawal,15:16:00,15:19:29.400000,4,3.49,12
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,13:28:00,Debit Card Reissue,13:33:00,13:43:40.800000,5,10.68,13
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:43:00,Debit Card Reissue,15:49:00,15:57:46.800000,6,8.78,14
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:50:00,Inward Remittance,15:57:00,16:12:55.800000,7,15.93,4
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,12:08:00,Cash Withdrawal,12:14:00,12:16:18,6,2.3,7
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,13:24:00,Locker Access,13:27:00,13:35:36.600000,3,8.61,14
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,13:16:00,Cash Deposit,13:24:00,13:27:49.200000,8,3.82,14
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,14:19:00,Cash Deposit,14:25:00,14:29:57,6,4.95,11
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:36:00,Cash Deposit,15:42:00,15:46:16.200000,6,4.27,13
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,12:53:00,Loan Repayment,12:55:00,13:03:54,2,8.9,1
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,13:02:00,Cash Deposit,13:05:00,13:09:13.800000,3,4.23,9
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,11:38:00,Loan Repayment,11:43:00,11:51:54,5,8.9,5
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,14:52:00,Inward Remittance,14:57:00,15:09:50.400000,5,12.84,10
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:29:00,Loan Repayment,15:37:00,15:44:15,8,7.25,1
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:49:00,Cash Deposit,15:53:00,15:56:32.400000,4,3.54,6
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,13:02:00,Cheque Deposit,13:07:00,13:12:28.800000,5,5.48,8
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:53:00,Cash Deposit,15:58:00,16:02:18,5,4.3,2
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,15:19:00,Inward Remittance,15:24:00,15:36:44.400000,5,12.74,14
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,16:11:00,Cheque Deposit,16:15:00,16:21:40.800000,4,6.68,10
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,10:05:00,FD Opening,10:10:00,10:22:07.200000,5,12.12,7
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,11:38:00,Cash Withdrawal,11:41:00,11:43:53.400000,3,2.89,4
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,16:43:00,Debit Card Reissue,16:48:00,16:58:06.600000,5,10.11,6
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,14:41:00,New Account Opening,14:43:00,15:12:20.400000,2,29.34,4
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,12:06:00,Loan Repayment,12:09:00,12:15:18,3,6.3,12
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,10:36:00,New Account Opening,10:40:00,11:12:21.600000,4,32.36,3
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,16:04:00,Locker Access,16:08:00,16:16:45,4,8.75,5
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,14:16:00,FD Opening,14:18:00,14:31:36.600000,2,13.61,9
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,16:10:00,Cheque Deposit,16:16:00,16:21:12,6,5.2,10
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,13:13:00,Cheque Deposit,13:18:00,13:24:13.800000,5,6.23,7
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,16:32:00,FD Opening,16:36:00,16:50:48,4,14.8,8
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,16:46:00,Inward Remittance,16:47:00,17:00:27,1,13.45,2
Sonali Bank,"Sonali Bank, Savar Branch",2025-08-04,Monday,14:38:00,Locker Access,14:46:00,14:58:17.400000,8,12.29,14
