bank,branch,date,day,arrival_time,service_type,service_start_time,service_end_time,wait_time_min,service_duration_min,queue_length
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:14:00,Cash Deposit,13:23:00,13:27:00.600000,9,4.01,11
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:37:00,Locker Access,12:40:00,12:49:52.200000,3,9.87,1
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:00:00,Inward Remittance,13:06:00,13:21:47.400000,6,15.79,15
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,09:28:00,Debit Card Reissue,09:33:00,09:42:48,5,9.8,11
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:38:00,Cheque Deposit,13:42:00,13:48:45,4,6.75,5
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:24:00,Cash Withdrawal,10:29:00,10:32:07.800000,5,3.13,3
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:46:00,Loan Repayment,10:53:00,10:59:04.200000,7,6.07,3
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,11:42:00,Cash Deposit,11:49:00,11:52:45,7,3.75,3
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:56:00,Inward Remittance,14:04:00,14:21:19.800000,8,17.33,13
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:58:00,Cheque Deposit,14:05:00,14:10:44.400000,7,5.74,4
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,09:15:00,Locker Access,09:19:00,09:28:22.800000,4,9.38,7
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,15:40:00,Cash Withdrawal,15:44:00,15:47:46.800000,4,3.78,11
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,11:52:00,Cash Deposit,11:53:00,11:57:24.600000,1,4.41,1
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,12:11:00,Loan Repayment,12:12:00,12:19:37.200000,1,7.62,9
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,09:32:00,Debit Card Reissue,09:33:00,09:44:36,1,11.6,4
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:28:00,Loan Repayment,13:32:00,13:41:20.400000,4,9.34,13
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:29:00,Cheque Deposit,13:36:00,13:42:00.600000,7,6.01,10
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:09:00,Cash Withdrawal,13:17:00,13:19:59.400000,8,2.99,4
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,15:23:00,Loan Repayment,15:28:00,15:34:51,5,6.85,7
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:59:00,Debit Card Reissue,14:05:00,14:14:42,6,9.7,8
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,10:05:00,Cash Deposit,10:08:00,10:12:19.800000,3,4.33,6
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,13:11:00,Cheque Deposit,13:17:00,13:22:24.600000,6,5.41,14
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,16:53:00,Cash Withdrawal,16:59:00,17:01:55.200000,6,2.92,1
Sonali Bank,"Sonali Bank, Dhaka Branch",2025-08-04,Monday,16:06:00,Cash Deposit,16:11:00,16:15:46.200000,5,4.77,2
